registro_id,cell_index,anio,mes,anio_mes,asset_fuente,viirs_soporte_nativo_m,viirs_detecciones_todas_support_mean,viirs_detecciones_nominal_alta_support_mean,viirs_presencia_fuego_support_frac,viirs_presencia_fuego_nominal_alta_support_frac,viirs_frp_suma_observada_support_mean_mw,viirs_frp_maxima_support_mean_mw,viirs_dias_validos_support_mean,viirs_disponibilidad_support_pct,viirs_observado_support_mean,viirs_source_coverage_frac,viirs_observed_support_frac,viirs_evidencia_fuego_any,viirs_evidencia_fuego_nominal_alta_any,estrato_muestra,procedencia,fuente_primaria,unidad_analisis,datos_simulados,version_origen
VCM_0064,4391,2023,8,2023-08,VIIRS_PREP_2023_08,926.625433055833,0.75,0.75,0.75,0.75,6.075000286102296,6.075000286102296,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0065,5277,2023,8,2023-08,VIIRS_PREP_2023_08,926.625433055833,0.4117647058823528,0.4117647058823528,0.4117647058823528,0.4117647058823528,23.84117709889131,23.84117709889131,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0066,5353,2023,8,2023-08,VIIRS_PREP_2023_08,926.625433055833,1.0,1.0,1.0,1.0,66.5999984741211,66.5999984741211,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0067,1245,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,0.4852941176470587,0.4852941176470587,0.4852941176470587,0.4852941176470587,6.5514705882352935,6.5514705882352935,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0068,1297,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,1.0,1.0,1.0,1.0,33.635443578792525,33.635443578792525,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0069,1552,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,0.4411764705882353,0.4411764705882353,0.4411764705882353,0.4411764705882353,7.676470419939826,7.676470419939826,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0070,4471,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,0.3552631578947368,0.3552631578947368,0.3552631578947368,0.3552631578947368,10.69342118815372,10.69342118815372,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0071,6146,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,0.75,0.75,0.75,0.75,5.250000000000001,5.250000000000001,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0072,6231,2023,9,2023-09,VIIRS_PREP_2023_09,926.625433055833,0.1411764705882353,0.1411764705882353,0.1411764705882353,0.1411764705882353,0.9882352941176472,0.9882352941176472,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0073,1146,2023,10,2023-10,VIIRS_PREP_2023_10,926.625433055833,2.0,2.0,1.0,1.0,188.27352434046128,122.31617512422449,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0074,2803,2023,10,2023-10,VIIRS_PREP_2023_10,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0075,4958,2023,12,2023-12,VIIRS_PREP_2023_12,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0076,3323,2024,3,2024-03,VIIRS_PREP_2024_03,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
